stop_id,stop_name,stop_lat,stop_lon,source_file
20336,Pyramid Railway Station (Pyramid Hill),-36.0531127438551,144.113132712447,source_10
20337,Riddells Creek Railway Station (Riddells Creek),-37.4651237881892,144.679830706708,source_10
20338,Rochester Railway Station (Rochester),-36.3623604978946,144.69868133984,source_10
20339,Rosedale Railway Station (Rosedale),-38.1564036678056,146.786966372164,source_10
20341,Sale Railway Station (Sale),-38.1031027232615,147.054805133913,source_10
20342,Seymour Railway Station (Seymour),-37.0247287252468,145.137728616954,source_10
20343,Shepparton Railway Station (Shepparton),-36.3837910130932,145.40649748504,source_10
20344,South Geelong Railway Station (South Geelong),-38.1586586336081,144.358987047615,source_10
20345,Springhurst Railway Station (Springhurst),-36.1858934040131,146.470416950047,source_10
20346,Stratford Railway Station (Stratford),-37.9670473936951,147.08146944896,source_10
20347,Swan Hill Railway Station (Swan Hill),-35.3411135727856,143.56234320517,source_10
20348,Tallarook Railway Station (Tallarook),-37.0923345407527,145.102997284521,source_10
20349,Terang Railway Station (Terang),-38.2362119867822,142.911472210202,source_10
20350,Trafalgar Railway Station (Trafalgar),-38.2072422970202,146.154772842954,source_10
20351,Traralgon Railway Station (Traralgon),-38.1988849376867,146.537882118369,source_10
20352,Tynong Railway Station (Tynong),-38.0849962573263,145.628234301935,source_10
20353,Violet Town Railway Station (Violet Town),-36.6388160601948,145.715923448032,source_10
20355,Wandong Railway Station (Wandong),-37.3546770982712,145.026415443752,source_10
20356,Wangaratta Railway Station (Wangaratta),-36.355100892513,146.317038461126,source_10
20357,Warragul Railway Station (Warragul),-38.1652294534302,145.932674231359,source_10
20358,Warrnambool Railway Station (Warrnambool),-38.3850139580983,142.475545037153,source_10
20359,Winchelsea Railway Station (Winchelsea),-38.2401350634662,143.984133891248,source_10
20360,Wodonga Railway Station (Wodonga),-36.105827099168,146.871265677398,source_10
20361,Woodend Railway Station (Woodend),-37.3587985943905,144.525890123296,source_10
20362,Yarragon Railway Station (Yarragon),-38.2031575351187,146.063062795324,source_10
22238,Flinders Street Railway Station (Melbourne City),-37.8183051340647,144.966964346167,source_10
22239,North Melbourne Railway Station (West Melbourne),-37.8063098353538,144.94151017321,source_10
22240,Footscray Railway Station (Footscray),-37.8014134330509,144.902020057667,source_10
22241,Sunshine Railway Station (Sunshine),-37.7885363319327,144.832878204954,source_10
22244,Watergardens Railway Station (Sydenham),-37.7011287184617,144.77418045437,source_10
22247,Richmond Railway Station (Richmond),-37.8240744554307,144.990164256273,source_10
22248,Caulfield Railway Station (Caulfield East),-37.8774594614967,145.042524781037,source_10
22249,Clayton Railway Station (Clayton),-37.92468255202,145.120534360257,source_10
22250,Dandenong Railway Station (Dandenong),-37.9899679153852,145.209725368166,source_10
22251,Berwick Railway Station (Berwick),-38.0404081301701,145.345714694143,source_10
22252,Pakenham Railway Station (Pakenham),-38.0806138269752,145.486367676332,source_10
22253,Essendon Railway Station (Essendon),-37.7560116950915,144.916197501013,source_10
22254,Broadmeadows Railway Station (Broadmeadows),-37.6830492642131,144.919613216031,source_10
22257,Sherwood Park Railway Station (Warrnambool),-38.3863922426883,142.538871160458,source_10
43469,Wendouree Railway Station (Wendouree),-37.5397161085599,143.820067525024,source_10
44951,Creswick Railway Station (Creswick),-37.4246053919996,143.888123645164,source_10
44952,Clunes Railway Station (Clunes),-37.3031407893339,143.781576577227,source_10
44953,Maryborough Railway Station (Maryborough),-37.0509084912268,143.742402336942,source_10
47482,Talbot Railway Station (Talbot),-37.1728992315924,143.705640344825,source_10
47641,Waurn Ponds Railway Station (Waurn Ponds),-38.2158144727243,144.306819399771,source_10
47642,Epsom Railway Station (Epsom),-36.7063415842164,144.321039539469,source_10
47647,Wyndham Vale Railway Station (Manor Lakes),-37.8728864691512,144.608731914243,source_10
47648,Tarneit Railway Station (Tarneit),-37.8321681307254,144.694714384216,source_10
48804,Cobblebank Railway Station (Cobblebank),-37.7125455447496,144.604107822837,source_10
49295,Raywood Railway Station (Raywood),-36.5319592725465,144.201161040619,source_10
49296,Huntly Railway Station (Huntly),-36.6658479426107,144.369820458509,source_10
49848,East Pakenham Railway Station (Pakenham),-38.0842846427134,145.506313864682,source_10
51809,Goornong Railway Station (Goornong),-36.6151832667628,144.503474174345,source_10
52011,Caroline Springs Railway Station (Ravenhall),-37.7661447211086,144.735747947879,source_10
